number-n 不少 数量 0.134 syn
help-v 帮 帮助 0.223 syn
help-v 帮 帮助 0.223 syn
help-v 帮 帮助 0.223 syn
help-v 帮 帮助 0.223 syn
help-v 帮 帮助 0.223 syn
help-v 帮 帮助 0.223 syn
help-v 帮 帮助 0.223 syn
help-v 帮 帮助 0.223 syn
help-v 帮 帮助 0.223 syn
help-v 帮 帮助 0.223 syn
help-v 帮 帮助 0.223 syn
help-v 于事无补 有助于 0.119 syn
help-v 于事无补 帮助 0.097 syn
help-v 于事无补 帮助 0.097 syn
help-v 有助于 帮助 0.431 syn
help-v 有助于 帮助 0.431 syn
help-v 有助于 帮助 0.431 syn
help-v 有助于 帮助 0.431 syn
help-v 有助于 帮助 0.431 syn
help-v 举棋不定 帮助 0.205 syn
help-v 举棋不定 帮助 0.205 syn
help-v 举棋不定 帮助 0.205 syn
die-v 死于 去世 0.511 syn
die-v 死于 死 0.465 syn
die-v 死于 去世 0.511 syn
die-v 死于 死 0.465 syn
die-v 死于 死者 0.369 syn
die-v 死于 过世 0.412 syn
die-v 死于 死 0.465 syn
die-v 死于 牺牲 0.207 syn
die-v 死于 去世 0.511 syn
die-v 死于 死 0.465 syn
die-v 去世 死亡 0.561 syn
die-v 去世 牺牲 0.242 syn
die-v 去世 死亡 0.561 syn
die-v 去世 死 0.382 syn
die-v 去世 死亡 0.561 syn
die-v 去世 死 0.382 syn
die-v 去世 死亡 0.561 syn
die-v 去世 牺牲 0.242 syn
die-v 生前 死亡 0.309 syn
die-v 生前 牺牲 0.292 syn
die-v 死者 死亡 0.596 syn
die-v 死者 牺牲 0.221 syn
die-v 死亡 牺牲 0.276 syn
die-v 死亡 死 0.39 syn
die-v 死亡 死 0.39 syn
die-v 死亡 牺牲 0.276 syn
die-v 死亡 死 0.39 syn
die-v 死亡 牺牲 0.276 syn
die-v 死亡 过世 0.383 syn
die-v 死亡 死 0.39 syn
die-v 死亡 死 0.39 syn
die-v 辞世 死 0.333 syn
die-v 过世 死 0.481 syn
die-v 当场 死 0.488 syn
die-v 牺牲 死 0.341 syn
evidence-n 证据 证据 1.0 poly
evidence-n 证据 证据 1.0 poly
evidence-n 证据 证词 0.692 poly
step-v 退 下台 0.235 syn
session-n 召开 会议 0.608 syn
town-n 城里 镇 0.502 syn
recognize-v 认识 认识 1.0 poly
effect-n 影响 副作用 0.563 syn
effect-n 影响 副作用 0.563 syn
effect-n 影响 副作用 0.563 syn
effect-n 影响 副作用 0.563 syn
medicine-n 吃药 药 0.564 syn
medicine-n 吃药 药物 0.179 syn
medicine-n 药 药物 0.53 syn
sign-v 签署 签 0.455 syn
receive-v 接到 获得 0.152 syn
receive-v 接到 收到 0.602 syn
receive-v 接到 接受 0.271 syn
receive-v 接到 收到 0.602 syn
receive-v 接到 收到 0.602 syn
receive-v 接到 得到 0.156 syn
receive-v 接到 收到 0.602 syn
receive-v 获得 收到 0.282 syn
receive-v 得到 收到 0.311 syn
receive-v 得到 接受 0.546 syn
receive-v 得到 收到 0.311 syn
receive-v 接受 收到 0.265 syn
receive-v 接受 收到 0.265 syn
belong-v 一员 属于 0.197 syn
show-n 剧 节目 0.335 syn
show-n 剧 节目 0.335 syn
make-v 作出 做出 0.593 syn
make-v 使 使 1.0 poly
make-v 使 使 1.0 poly
make-v 做出 做出 1.0 poly
make-v 做出 迈进 0.466 syn
make-v 做出 迈进 0.466 syn
make-v 做出 迈进 0.466 syn
suggest-v 建议 提出 0.58 syn
lead-v 领导 带领 0.587 syn
show-v 紊乱 显示 0.163 syn
show-v 出示 显示 0.354 syn
show-v 出示 说明 0.425 syn
show-v 显示 展示 0.438 syn
show-v 显示 说明 0.457 syn
show-v 显示 泡汤 0.041 syn
show-v 显示 说明 0.457 syn
show-v 显示 说明 0.457 syn
show-v 显示 说明 0.457 syn
show-v 泡汤 说明 -0.157 syn
show-v 展示 表明 0.316 syn
show-v 表明 说明 0.57 syn
work-n 之中 工作 0.294 syn
work-n 工作 工作 1.0 poly
work-v 做工 工作 0.112 syn
work-v 做工 务工 0.376 syn
work-v 曾 工作 0.056 syn
work-v 曾 务工 0.007 syn
work-v 曾 打工 0.045 syn
work-v 曾 打工 0.045 syn
work-v 曾 工作 0.056 syn
work-v 曾 务工 0.007 syn
work-v 曾 打工 0.045 syn
work-v 曾 打工 0.045 syn
work-v 工作 工作 1.0 poly
work-v 工作 有用 0.246 syn
work-v 工作 务工 0.304 syn
work-v 工作 打工 0.077 syn
work-v 工作 打工 0.077 syn
work-v 工作 务工 0.304 syn
work-v 工作 打工 0.077 syn
work-v 工作 打工 0.077 syn
work-v 工作 打工 0.077 syn
work-v 工作 打工 0.077 syn
work-v 工作 打工 0.077 syn
work-v 工作 务工 0.304 syn
work-v 工作 打工 0.077 syn
work-v 工作 打工 0.077 syn
work-v 工作 务工 0.304 syn
work-v 工作 打工 0.077 syn
work-v 工作 打工 0.077 syn
work-v 工作 务工 0.304 syn
work-v 工作 打工 0.077 syn
work-v 工作 打工 0.077 syn
work-v 工作 务工 0.304 syn
work-v 工作 打工 0.077 syn
work-v 工作 打工 0.077 syn
work-v 工作 打工 0.077 syn
work-v 工作 打工 0.077 syn
work-v 工作 务工 0.304 syn
work-v 工作 打工 0.077 syn
work-v 工作 打工 0.077 syn
work-v 工作 打工 0.077 syn
work-v 工作 务工 0.304 syn
work-v 工作 打工 0.077 syn
work-v 工作 打工 0.077 syn
work-v 上班 务工 0.325 syn
work-v 务工 打工 0.634 syn
work-v 务工 打工 0.634 syn
work-v 务工 打工 0.634 syn
work-v 务工 打工 0.634 syn
work-v 务工 打工 0.634 syn
work-v 务工 打工 0.634 syn
work-v 务工 打工 0.634 syn
work-v 务工 打工 0.634 syn
work-v 务工 打工 0.634 syn
work-v 务工 打工 0.634 syn
work-v 务工 打工 0.634 syn
work-v 务工 打工 0.634 syn
work-v 务工 打工 0.634 syn
work-v 务工 打工 0.634 syn
work-v 务工 打工 0.634 syn
work-v 务工 打工 0.634 syn
work-v 从事 打工 0.207 syn
work-v 从事 打工 0.207 syn
file-v 起诉 告到 0.458 syn
trip-n 车程 访 -0.021 syn
trip-n 婚后 访 0.032 syn
appear-v 看起来 似乎 0.596 syn
agree-v 同意 同意 1.0 poly
agree-v 同意 赞同 0.582 syn
agree-v 同意 同意 1.0 poly
agree-v 同意 赞同 0.582 syn
agree-v 同意 赞同 0.582 syn
agree-v 同意 赞同 0.582 syn
agree-v 一致 赞同 0.388 syn
prevent-v 预防 阻止 0.194 syn
prevent-v 阻止 防止 0.589 syn
force-n 部队 美军 0.525 syn
force-n 部队 联军 0.507 syn
force-n 部队 军队 0.645 syn
force-n 部队 军队 0.645 syn
force-n 部队 军队 0.645 syn
force-n 军队 联军 0.51 syn
force-n 军队 美军 0.475 syn
force-v 强行 迫使 0.642 syn
raise-v 带大 教养 0.309 syn
raise-v 提 提 1.0 poly
raise-v 提 提过 0.357 syn
enjoy-v 挺逗 先睹为快 0.571 syn
enjoy-v 先睹为快 欣赏 0.554 syn
enjoy-v 玩 欣赏 0.356 syn
give-v 举 给 0.039 syn
give-v 举 给 0.039 syn
give-v 举 给 0.039 syn
give-v 举 发 -0.007 syn
give-v 举 给出 0.134 syn
give-v 给与 给 0.043 syn
give-v 给与 报到 -0.003 syn
give-v 给予 给 0.228 syn
give-v 给予 注重 0.073 syn
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 讲出 0.284 syn
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 讲出 0.284 syn
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 发 0.347 syn
give-v 给 给出 0.058 syn
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 讲出 0.284 syn
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 报到 0.26 syn
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 发 0.347 syn
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 讲出 0.284 syn
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 讲出 0.284 syn
give-v 给 给 1.0 poly
give-v 给 给 1.0 poly
give-v 给 发 0.347 syn
give-v 给 给出 0.058 syn
give-v 给 给 1.0 poly
give-v 给 报到 0.26 syn
expect-v 期望 想到 0.303 syn
expect-v 期望 料想 0.349 syn
day-n 天 天 1.0 poly
day-n 天 天 1.0 poly
day-n 天 天 1.0 poly
day-n 天 天 1.0 poly
day-n 天 天 1.0 poly
day-n 天 天 1.0 poly
day-n 天 天 1.0 poly
day-n 天 天 1.0 poly
day-n 天 有一天 -0.032 syn
day-n 天 天 1.0 poly
day-n 天 天 1.0 poly
day-n 天 天 1.0 poly
part-n 员 部分 0.107 syn
beat-v 克服 击败 0.226 syn
victim-n 遇难者 灾民 0.471 syn
cry-v 哭 哭 1.0 poly
cry-v 哭 哭 1.0 poly
cry-v 哭 像话 0.629 syn
explain-v 清 解释 0.146 syn
explain-v 解释 一言难尽 0.052 syn
create-v 打造 建立 0.209 syn
create-v 形成 树立 0.477 syn
create-v 制造 创作 0.169 syn
create-v 产生 建立 0.152 syn
create-v 产生 树立 0.084 syn
want-v 张扬 想 0.316 syn
want-v 张扬 想 0.316 syn
want-v 张扬 想 0.316 syn
want-v 张扬 想 0.316 syn
want-v 张扬 想 0.316 syn
want-v 张扬 想 0.316 syn
want-v 张扬 想 0.316 syn
want-v 张扬 想 0.316 syn
want-v 张扬 想要 0.381 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
want-v 想 想要 0.562 syn
invest-v 入 ４０ 0.246 syn
invest-v 入 投入 0.256 syn
invest-v ４０ 投入 0.024 syn
invest-v 投资 投入 0.409 syn
damage-v 损害 破坏 0.579 syn
celebrate-v 庆祝 喜气洋洋 0.486 syn
broadcast-v 直播 开播 0.628 syn
broadcast-v 开播 播 0.534 syn
broadcast-v 播放 播出 0.572 syn
broadcast-n 广播 直播 0.611 syn
fire-n 开火 攻击 0.673 poly
increase-v 增大 上升 0.459 syn
increase-v 上升 增加 0.617 syn
increase-v 提高 增加 0.557 syn
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时间 时间 1.0 poly
time-n 时机 有时 0.103 syn
result-v 导致 效果 0.291 syn
declaration-n 一些个 声明 -0.113 syn
figure-v 找出 想出 0.554 syn
occupy-v 占领 占 0.214 syn
child-n 小孩子 孩子 0.838 poly
child-n 小孩子 孩子们 0.739 poly
child-n 孩子 孩子 1.0 poly
child-n 孩子 儿童 0.272 syn
child-n 孩子 小孩 0.941 poly
child-n 孩子 孩子们 0.784 poly
child-n 孩子 孩子 1.0 poly
child-n 孩子 孩子们 0.784 poly
child-n 孩子 小孩 0.941 poly
child-n 孩子 小孩 0.941 poly
child-n 小孩 小孩 1.0 poly
child-n 小孩 孩子们 0.754 poly
child-n 孩子们 儿童 0.258 syn
refuse-v 有来有往 拒绝 -0.071 syn
forget-v 忘 忘 1.0 poly
touch-v 触及 感触 0.097 syn
answer-n 答案 回应 0.317 syn
answer-n 回答 回应 0.531 syn
read-v 念 读 0.307 syn
read-v 读到 看 0.431 syn
read-v 读到 读 0.263 syn
read-v 看 读 0.261 syn
read-v 看 读 0.261 syn
read-v 看 读 0.261 syn
read-v 读书 读 0.297 syn
read-v 阅读 读 0.254 syn
determine-v 判断 有待于 0.168 syn
answer-v 回答 答案 0.405 syn
life-n 寿命 人生 0.194 syn
life-n 人生 人生 1.0 poly
life-n 人生 人生 1.0 poly
life-n 人生 人生 1.0 poly
life-n 人生 人生 1.0 poly
life-n 报告卡 生活 0.318 syn
life-n 生活 生活 1.0 poly
life-n 生活 生活 1.0 poly
life-n 生活 生活 1.0 poly
life-n 生活 生活 1.0 poly
life-n 生活 生活 1.0 poly
life-n 生活 生活 1.0 poly
life-n 生活 生命 0.456 syn
life-n 生命 生命 1.0 poly
life-n 生命 生命 1.0 poly
life-n 生命 生命 1.0 poly
life-n 生命 生命 1.0 poly
life-n 生命 生命 1.0 poly
life-n 生命 一生 0.545 syn
hate-v 恨 讨厌 0.631 syn
issue-v 发出 发布 0.536 syn
issue-v 发表 发布 0.643 syn
need-v 必要 需要 0.66 poly
need-v 必要 需要 0.66 poly
need-v 必要 需要 0.66 poly
need-v 必要 需要 0.66 poly
need-v 必要 需要 0.66 poly
need-v 必要 需要 0.66 poly
need-v 需 需要 0.562 syn
need-v 需 需要 0.562 syn
need-v 需 需要 0.562 syn
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
need-v 需要 需要 1.0 poly
marry-v 结 结婚 0.45 syn
postpone-v 推迟 拖 0.227 syn
invite-v 请 邀请 0.332 syn
invite-v 请来 邀请 0.247 syn
invite-v 请到 邀请 0.132 syn
go-v 上完 走 0.366 syn
go-v 上完 去 0.426 syn
go-v 上完 去 0.426 syn
go-v 上完 去 0.426 syn
go-v 上完 去 0.426 syn
go-v 上完 去 0.426 syn
go-v 上完 去 0.426 syn
go-v 上完 去 0.426 syn
go-v 上完 去 0.426 syn
go-v 上完 去 0.426 syn
go-v 上完 去 0.426 syn
go-v 上完 上学 0.636 syn
go-v 回家 长短 0.166 syn
go-v 回家 走 0.644 syn
go-v 回家 去 0.752 poly
go-v 回家 走 0.644 syn
go-v 回家 去 0.752 poly
go-v 回家 走 0.644 syn
go-v 回家 去 0.752 poly
go-v 朝向 出去 -0.016 syn
go-v 朝向 去 0.006 syn
go-v 朝向 去 0.006 syn
go-v 朝向 去 0.006 syn
go-v 朝向 去 0.006 syn
go-v 朝向 去 0.006 syn
go-v 回去 去 0.778 poly
go-v 回去 上学 0.566 syn
go-v 回去 走到 0.424 syn
go-v 撤 走 0.377 syn
go-v 撤 走 0.377 syn
go-v 长短 出去 0.067 syn
go-v 长短 走 0.028 syn
go-v 长短 去 0.108 syn
go-v 长短 去 0.108 syn
go-v 长短 去 0.108 syn
go-v 长短 去 0.108 syn
go-v 长短 去 0.108 syn
go-v 出去 走到 0.393 syn
go-v 出去 走 0.673 poly
go-v 出去 去 0.73 poly
go-v 出去 上学 0.443 syn
go-v 出去 走 0.673 poly
go-v 出去 去 0.73 poly
go-v 出去 去 0.73 poly
go-v 出去 去 0.73 poly
go-v 出去 去 0.73 poly
go-v 走 走 1.0 poly
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 上学 0.409 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 上学 0.409 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 走 1.0 poly
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
go-v 走 去 0.604 syn
